2026-05-22 14:13:04 | ERROR    | __main__:_make_request:56 - Erro na requisição para https://musicbrainz.org/ws/2/artist: HTTPSConnectionPool(host='musicbrainz.org', port=443): Max retries exceeded with url: /ws/2/artist?query=artist%3A%22Calvin+Harris%22&limit=1&fmt=json (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)')))
2026-05-22 14:13:05 | ERROR    | __main__:_make_request:56 - Erro na requisição para https://musicbrainz.org/ws/2/artist: HTTPSConnectionPool(host='musicbrainz.org', port=443): Max retries exceeded with url: /ws/2/artist?query=artist%3A%22The+Weeknd%22&limit=1&fmt=json (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)')))
2026-05-22 14:13:06 | ERROR    | __main__:_make_request:56 - Erro na requisição para https://musicbrainz.org/ws/2/artist: HTTPSConnectionPool(host='musicbrainz.org', port=443): Max retries exceeded with url: /ws/2/artist?query=artist%3A%22Van+Zee%22&limit=1&fmt=json (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)')))
2026-05-22 14:13:08 | ERROR    | __main__:_make_request:56 - Erro na requisição para https://musicbrainz.org/ws/2/artist: HTTPSConnectionPool(host='musicbrainz.org', port=443): Max retries exceeded with url: /ws/2/artist?query=artist%3A%22Veigh%22&limit=1&fmt=json (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)')))
2026-05-22 14:13:09 | ERROR    | __main__:_make_request:56 - Erro na requisição para https://musicbrainz.org/ws/2/artist: HTTPSConnectionPool(host='musicbrainz.org', port=443): Max retries exceeded with url: /ws/2/artist?query=artist%3A%22Capit%C3%A3o+Fausto%22&limit=1&fmt=json (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)')))
2026-05-22 14:13:10 | ERROR    | __main__:_make_request:56 - Erro na requisição para https://musicbrainz.org/ws/2/artist: HTTPSConnectionPool(host='musicbrainz.org', port=443): Max retries exceeded with url: /ws/2/artist?query=artist%3A%22Bad+Bunny%22&limit=1&fmt=json (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)')))
2026-05-22 14:13:11 | ERROR    | __main__:_make_request:56 - Erro na requisição para https://musicbrainz.org/ws/2/artist: HTTPSConnectionPool(host='musicbrainz.org', port=443): Max retries exceeded with url: /ws/2/artist?query=artist%3A%22Matu%C3%AA%22&limit=1&fmt=json (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)')))
2026-05-22 14:13:12 | ERROR    | __main__:_make_request:56 - Erro na requisição para https://musicbrainz.org/ws/2/artist: HTTPSConnectionPool(host='musicbrainz.org', port=443): Max retries exceeded with url: /ws/2/artist?query=artist%3A%22Grupo+Menos+%C3%89+Mais%22&limit=1&fmt=json (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)')))
2026-05-22 14:13:14 | ERROR    | __main__:_make_request:56 - Erro na requisição para https://musicbrainz.org/ws/2/artist: HTTPSConnectionPool(host='musicbrainz.org', port=443): Max retries exceeded with url: /ws/2/artist?query=artist%3A%22GROGNation%22&limit=1&fmt=json (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)')))
2026-05-22 14:13:15 | ERROR    | __main__:_make_request:56 - Erro na requisição para https://musicbrainz.org/ws/2/artist: HTTPSConnectionPool(host='musicbrainz.org', port=443): Max retries exceeded with url: /ws/2/artist?query=artist%3A%22Maroon+5%22&limit=1&fmt=json (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)')))
2026-05-22 14:13:16 | ERROR    | __main__:_make_request:56 - Erro na requisição para https://musicbrainz.org/ws/2/artist: HTTPSConnectionPool(host='musicbrainz.org', port=443): Max retries exceeded with url: /ws/2/artist?query=artist%3A%22DJ+Japa+NK%22&limit=1&fmt=json (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)')))
